artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
John Legend,Love In The Future (Expanded Edition),All of Me,3U4isOIWM3VvDubwSI3y7a,0.422,0.264,8,-7.064,1,0.0322,0,0.132,0.331,119.93,269560,4,love_songs_heart
High Tropics,Caroline,Caroline,72NC9kHkFA7k98dE0t4xEX,0.462,0.813,9,-4.562,1,0.0327,0.00352,0.227,0.595,129.99,206753,4,love_songs_heart
Florence + The Machine,You've Got The Love,You've Got The Love,0fPf9CDFzVnHpcfld5XVtO,0.571,0.708,6,-4.74,1,0.0329,0,0.125,0.398,109.899,168667,4,love_songs_heart
Calum Scott,Only Human (Deluxe),Dancing On My Own,2BOqDYLOJBiMOXShCV1neZ,0.682,0.173,1,-8.749,1,0.0314,3.26e-05,0.0983,0.236,112.663,260285,4,love_songs_heart
Adele,19,Make You Feel My Love,0mqTcM8kuu2IYPotMt7AzS,0.559,0.172,10,-10.636,1,0.0291,0.000383,0.105,0.0955,77.025,212040,4,love_songs_heart
Camo Columbo,Last Summer Daze,Sapphire Moonlight,23dTlZ4Y4SJJ4cpUoQeUYY,0.799,0.706,6,-7.071,0,0.134,0.00227,0.334,0.778,98.009,194694,4,love_songs_heart
Lana Del Rey,Young And Beautiful,Young And Beautiful,5UzTtUZper0CphnqZYvsIu,0.319,0.426,11,-8.929,0,0.0382,8.23e-06,0.108,0.159,114.553,236053,4,love_songs_heart
James Bay,Chaos And The Calm,If You Ever Want To Be In Love,02fZLz9BmmOKb5wkueM9D4,0.683,0.837,0,-5.46,1,0.0307,2.98e-05,0.0627,0.565,115.933,238973,4,love_songs_heart
Noah Cyrus,July (feat. Leon Bridges),July (feat. Leon Bridges),3V0nnQhqvbE3JmiDdnzQFQ,0.708,0.211,9,-9.603,0,0.0424,0,0.131,0.362,72.5,152280,4,love_songs_heart
Sam Smith,In The Lonely Hour,Stay With Me,2whoe0pPKh4JRn6eWSIqTV,0.414,0.419,0,-6.431,1,0.0388,0.000195,0.11,0.18,84.082,172724,4,love_songs_heart
Easy Life,Sangria,Sangria,79tTcoeAq2Dt2qlH3CHm3m,0.659,0.457,0,-10.654,0,0.274,1.31e-06,0.129,0.694,76.043,190023,4,love_songs_heart
Dean Lewis,Be Alright,Be Alright,3EPXxR3ImUwfayaurPi3cm,0.553,0.586,11,-6.319,1,0.0362,0,0.0813,0.443,126.684,196373,4,love_songs_heart
LEFT.,Love,Love,6O7lFX7U5ZPgfGAZsikDQo,0.758,0.533,11,-9.091,0,0.128,2.38e-05,0.113,0.34,114.942,221808,4,love_songs_heart
Alicia Keys,Show Me Love,Show Me Love,0XPlSuCVQ1nOhzTpFgnDSz,0.531,0.491,5,-5.47,0,0.042,0,0.0703,0.521,129.38,194998,4,love_songs_heart
Various Artists,13 Reasons Why (A Netflix Original Series Soundtrack),The Night We Met,3FsBtu3gdlfZjBLXyDvmj1,0.441,0.369,2,-9.644,1,0.046,0.207,0.641,0.115,174.152,206933,3,love_songs_heart
Harry Styles,Adore You,Adore You,1M4qEo4HE3PRaCOM7EXNJq,0.676,0.771,8,-3.675,1,0.0483,7e-06,0.102,0.569,99.048,207133,4,love_songs_heart
Ingrid Michaelson,Be OK,You and I,4oeRfmp9XpKWym6YD1WvBP,0.697,0.298,0,-7.635,1,0.0551,0,0.0874,0.509,134.216,148707,4,love_songs_heart
Coldplay,Ghost Stories,Magic,23khhseCLQqVMCIT1WMAns,0.738,0.483,6,-8.915,0,0.0403,0.616,0.106,0.355,93.458,285014,4,love_songs_heart
Johnning,Sober,Sober,6vEdn7JCnvGhYQQ9yLcsJe,0.448,0.692,6,-9.937,0,0.141,1.39e-06,0.0896,0.182,199.638,181682,4,love_songs_heart
Maren Morris,The Bones (with Hozier),The Bones - with Hozier,1yTTMcUhL7rtz08Dsgb7Qb,0.561,0.597,11,-6.0,0,0.0405,0,0.0979,0.355,76.826,197299,4,love_songs_heart
LP,Death Valley,Lost on You,2kz40rIHjfGYxurLiuCBp9,0.433,0.724,5,-6.126,0,0.0372,0,0.0918,0.689,174.006,268105,4,love_songs_heart
The Maccabees,Colour It In,Toothpaste Kisses,4BAWCedKFfdwxPFmFv4DMG,0.462,0.427,9,-13.333,1,0.0792,0.101,0.37,0.476,101.675,159320,3,love_songs_heart
John Mayer,Carry Me Away,Carry Me Away,6TL3MOcVW8i1UiJkvhpDbR,0.703,0.668,4,-7.746,1,0.0289,0.000408,0.0963,0.659,120.005,156987,4,love_songs_heart
Caravn,Hazy Memories,Hazy Memories,1jeH74UaH5xFnLo73haMQl,0.455,0.317,9,-8.031,1,0.0448,0,0.0962,0.44,71.113,177143,1,love_songs_heart
